,actively_hiring,Type_of_internship,company_name,location,stipend,duration
177,1.0,E-Commerce Marketing,Pawzz,Gurgaon,"₹ 12,000 /month",3 Months
178,,Recruitment/HR,KWMCS VENTURES LLP,Work From Home,"₹ 3,000 /month",3 Months
179,,Business Development (Sales),GHSL Technologies Private Limited,Hyderabad,"₹ 10,000 /month +  Incentives",6 Months
180,,Content Writing,SaffireTech,Mumbai,"₹ 10,000 /month",4 Months
181,1.0,Business Development Management,Across The Globe (ATG),Work From Home,"₹ 1,000-1,500 /month",6 Months
182,,Graphic Design,Space Rocket Media Private Limited,Delhi,"₹ 5,000 /month",3 Months
183,,Accounts,Tanmay Sachin Foundation,Mumbai,Unpaid,1 Month
184,,Architectural Physical Model Making,Rohit Electricals,Delhi,"₹ 3,000-5,000 /month",1 Month
185,,Human Resources (HR),I & S Buildtech Private Limited,Delhi,"₹ 8,000 /month",1 Month
186,,Digital Marketing,Dimeser,Work From Home,"₹ 4,000 /month",6 Months
187,,Server Administration (Linux/Windows),S Naidu Tech,Work From Home,"₹ 3,000 /month",3 Months
188,,Digital Marketing,Visualize India,Mumbai,"₹ 4,000-12,000 /month",3 Months
189,,Graphic Design,Neev Studio,Work From Home,"₹ 5,000 /month",3 Months
190,,Talent Management,GoGlocal Private Limited,Mumbai,"₹ 8,000-12,000 /month",2 Months
191,,Video Editing,Odicode Digital Solutions Private Limited,Work From Home,"₹ 2,000 /month",2 Months
192,,Content Creation,K2 Institute,Work From Home,"₹ 3,000 /month",3 Months
193,,Video Editing,L2BC,Delhi,"₹ 3,000-6,000 /month",3 Months
194,,Graphic Design,SSD HOST,Work From Home,"₹ 5,000 /month",3 Months
195,,Data Science (NLP),Lacritz.ai,Work From Home,"₹ 8,000 /month",6 Months
196,,Costing & Managment,D C Dave & Co,Mumbai,"₹ 5,500 /month",6 Months
197,,Digital Marketing & Video Creation,Yoh Technologies Private Limited,Work From Home,"₹ 2,000 /month",3 Months
198,,Business Development (Sales),The Response Company,Gurgaon,"₹ 10,000 /month",2 Months
199,,React Native App Development,AGGRALIOUS TECHNOLOGIES PRIVATE LIMITED,Work From Home,"₹ 6,000 /month",3 Months
200,,Digital Marketing,SpeedVitals,Work From Home,"₹ 5,000-7,000 /month",1 Month
201,,Content & Research,Edzer Education Private Limited,Work From Home,"₹ 2,000 /month",3 Months
202,,Human Resources (HR),Wednesday Solutions,Pune,"₹ 10,000 /month",3 Months
203,,Technical Research,Aadi Foundation,Work From Home,Unpaid,3 Months
204,,PHP Development,Web Business Tech Private Limited,Delhi,"₹ 3,000-10,000 /month",3 Months
205,,Fashion Consultant,A Big Indian Story,Pune,"₹ 10,000-12,000 /month",3 Months
206,,Business Development (Sales),Urban Company,Ahmedabad,"₹ 20,000 /month",6 Months
207,,Market Research,Best Price Forex,Work From Home,"₹ 15,000 /month",1 Month
208,,Mobile App Development,Manav.app,Work From Home,"₹ 1,000 /month",2 Months
209,,Legal,Immuneel Therapeutics Private Limited,Bangalore,"₹ 10,000 /month",2 Months
210,1.0,Mail Chimp,Medius Technologies Private Limited,Mumbai,"₹ 8,000 /month",6 Months
211,,Cyber Security,Securium Solutions Private Limited,Noida,"₹ 8,000 /month",3 Months
212,,Lead Generation (B2B),Drip Capital,Work From Home,"₹ 4,000-5,000 /month",6 Months
213,,UI/UX Design,Bolt Experience Design Studio,Work From Home,"₹ 8,000-12,000 /month",6 Months
214,1.0,Content Analysis,TheCoinRepublic,Bhopal,"₹ 8,000-15,000 /month",3 Months
215,,Field Management,KalpaVriksha,Work From Home,"₹ 7,000 lump sum",2 Months
216,,Human Resources (HR),Heptanesia IT Services Private Limited,Mumbai,"₹ 5,000 /month",2 Months
217,,Content Writing,Gupta Vijay K And Co,Delhi,"₹ 10,000 /month",6 Months
218,,Graphic Design,OSK CADENZA ADVANTAGE INDIA,Faridabad,"₹ 10,000-15,000 /month",6 Months
219,,Email Marketing,Santa Cruz Telemarketing Services Private Limited,Ahmedabad,"₹ 10,000 /month",3 Months
220,1.0,Human Resources (HR),Pawzz,Gurgaon,"₹ 15,000-25,000 /month",6 Months
221,,Product Marketing,Peach,Bangalore,"₹ 15,000 /month",6 Months
222,,Telecalling,DigitalCardDbs,Work From Home,"₹ 3,000 /month +  Incentives",2 Months
223,,E-Commerce Listing,Do Dhaage,Jaipur,"₹ 5,000-7,000 /month",3 Months
224,1.0,Online Geography Teaching - For School,Vikalp India Private Limited,Work From Home,"₹ 5,000-8,000 /month",6 Months
225,1.0,Pre-School Teaching,Vikalp India Private Limited,Work From Home,"₹ 5,000-9,000 /month",6 Months
226,,Content Writing,Xindus Trade Networks,Gurgaon,"₹ 15,000 /month",3 Months
227,,Business Development,ThroughBit Technologies,Coimbatore,"₹ 3,000 /month",3 Months
228,,Event Management,Seven Seas Hospitality,Delhi,"₹ 10,000 /month",3 Months
229,,Digital Marketing,Splendid Media Private Limited,Indore,"₹ 3,000 /month +  Incentives",4 Months
230,,Interior Design,Constint Turnkey Services Private Limited,Hyderabad,"₹ 5,000 /month",6 Months
231,,Marketing,Wordsmith Learning Hub Private Limited,Work From Home,"₹ 18,000 /month",3 Months
232,,Law/Legal,D'Well Research,Work From Home,"₹ 5,000 /month",6 Months
233,,Marketing,Vignesh Reddy,Pune,"₹ 15,000 /month",3 Months
234,,Digital Marketing,Financial Tax Help,Bhopal,"₹ 3,000 /month",3 Months
235,,Web Development,Export Trade Mart,Chennai,"₹ 3,000 /month +  Incentives",3 Months
236,,Videography,CreedCulture Private Limited,Mumbai,"₹ 8,000-14,000 /month",3 Months
237,,Video Making/Editing,Fresh Avocados Entertainment Private Limited,Delhi,"₹ 6,000 /month",3 Months
238,,User Testing,HappyTap Hygiene Solutions,Mumbai,"₹ 12,500 /month",3 Weeks
239,,Graphic Design,Multi Minerals Industries,Work From Home,"₹ 2,000 /month",1 Month
240,,Media & Public Relations (PR),Mullen Lowe Lintas,Mumbai,"₹ 10,000-15,000 /month",6 Months
241,1.0,SQL Programming,StudyMonk,Work From Home,"₹ 10,000-15,000 /month",3 Months
242,,Sales,WIKIPIDIA ACADEMY,Work From Home,"₹ 5,000-10,000 /month",6 Months
243,,Visual Communication (Fully Office Based),Emmay Entertainment,Mumbai,"₹ 8,000 /month",2 Months
244,,Digital Marketing,Digital Dudes Private Limited,Work From Home,"₹ 8,000-12,000 /month",6 Months
245,,Marketing,LittleMove,Work From Home,"₹ 2,500 /month +  Incentives",1 Month
246,,Business Development,Xpertconsortium Technologies LLP,Kozhikode,"₹ 5,000 /month +  Incentives",6 Months
247,,"Content Writing, SEO, & SMO",Mukesh Murtikar,Work From Home,"₹ 3,500-5,000 /month",6 Months
248,,CAD Design (Fusion 360),Gurutvaa Systems Private Limited,Pune,"₹ 8,000 /month",6 Months
249,,Digital Marketing,Jaypee Brothers Medical Publishers Private Limited,Delhi,"₹ 10,000 /month",3 Months
250,,Digital Marketing,Flextron (MARCN Technologies),Bangalore,"₹ 15,000 /month",4 Months
251,,Business Development (Sales),Upskillz,Work From Home,"₹ 5,000-20,000 /month",6 Months
252,,Business Development (Sales),In2In Global Technology And Consulting Pvt Ltd,Work From Home,"₹ 5,000 /month",3 Months
253,,Policy Research Analyst,Jinishis Fintech Private Limited,Ahmedabad,"₹ 7,000-8,000 /month",6 Months
254,,Business Development (Sales),Teansoft,Chennai,"₹ 10,000-15,000 /month",3 Months
255,,Business Development,Rave Media,Work From Home,"₹ 5,000 /month +  Incentives",5 Months
256,,Content Writing,Peesafe,Gurgaon,"₹ 5,000-8,000 /month",3 Months
257,,Environmental Sciences,Eco Support Private Limited,Thane,"₹ 3,000 /month",6 Months
258,,Digital Marketing,Make In Brand (PWI),Thane,"₹ 2,000 /month",3 Months
259,,Digital Marketing,Vaansa Training & Projects,Pune,"₹ 3,000 /month",3 Months
260,,Content Writing Strategist,Amio Wellness,Delhi,"₹ 5,000 /month",2 Months
261,,Fashion Design,Spaces India Company,Delhi,"₹ 3,999-4,000 /month",2 Months
262,,Blogging,TNS Solution,Work From Home,"₹ 3,000 /month",2 Months
263,1.0,Fundraising,Jankalyan Multipurpose Education Society,Work From Home,Unpaid,1 Week
264,,Data Entry,GoHoardings Solution LLP,Noida,"₹ 7,000 /month",3 Months
265,,Sales Consulting,MySIPonline  - Cognus Technology,Udaipur,"₹ 12,000-16,000 /month",6 Months
266,,Stock Market Trading,Arthplus Investments,Pune,"₹ 2,000-10,000 /month",3 Months
267,,Content Marketing,Cooby,Pune,"₹ 15,000 /month",3 Months
268,,Sales & Operations,EV-Urjaa,Indore,"₹ 5,000 /month",6 Months
269,,Customer Delight,Yulu,Bangalore,"₹ 15,000 /month",3 Months
270,,Survey Research Assistance,Techurate Systems Private Limited,Bangalore,"₹ 2,000 /month +  Incentives",2 Months
271,,Business Strategy,Think9 Consumer Technologies Private Limited,Mumbai,"₹ 20,000 /month",3 Months
272,,Content Development (English),Nanak Shipping,Navi Mumbai,"₹ 3,000 /month +  Incentives",5 Months
273,,Data Entry (Hindi Literature),Instamagica,Work From Home,"₹ 3,000 /month",2 Months
274,,Graphic Design,Great Manager Institute,Work From Home,"₹ 10,000 /month",3 Months
275,,Content Creation - AI,Internet Pillar,Work From Home,"₹ 5,000 /month +  Incentives",6 Months
276,,Business Development (Sales),EasyHeals Technologies Private Limited,Pimpri-Chinchwad,"₹ 25,000 lump sum +  Incentives",3 Months
277,,Instagram Reel Creation,Indydesk,Work From Home,"₹ 10,000 /month",3 Months
278,,Social Media Marketing,Vision Corporation Limited,Mumbai,"₹ 5,000 /month",6 Months
279,,Social Media Research And Analysis,Youngun India,Work From Home,"₹ 5,000 /month",3 Months
280,,WordPress Development,CraftMyPlate,Work From Home,"₹ 3,000 lump sum +  Incentives",1 Month
281,,Human Resources (HR),GTL Software,Pune,"₹ 5,000 /month",3 Months
282,,Video Making/Editing,Purpos Planet,Delhi,"₹ 5,000-10,000 /month",2 Months
283,,Merchandise Design,RR Lifestyles,Bangalore,"₹ 15,000 /month",3 Months
284,,Electronics Engineering,Nava Design And Innovation Private Limited,Kochi,"₹ 7,000 /month",3 Months
285,,Front End Development,Gyata Infotech LLP,Gurgaon,"₹ 25,000 /month",2 Months
286,,Sales & Marketing,Pure Punch,Pune,"₹ 5,000 /month",3 Months
287,,Travel & Tourism,AGENCY09,Mumbai,"₹ 7,000-10,000 /month",6 Months
288,,Electrical & Electronics Engineering,Manastu Space Technologies,Work From Home,"₹ 15,000 /month",6 Months
289,,Graphic Design,Wolooka Technologies Private Limited (Testwin),Jaipur,"₹ 3,000-5,000 /month",3 Months
